url,concept_and_mnemonic
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-months/january.html,"```json
[
    {
        ""term"": ""January"",
        ""definition"": null,
        ""mnemonic"": ""January – Janitor"",
        ""image"": ""/images/user/base/Memory/Months/January.jpg"",
        ""keywords"": [""Janitor""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-months/february.html,"```json
[
    {
        ""term"": ""February"",
        ""definition"": null,
        ""mnemonic"": ""Imagine your town's water supply is fed by a brewery."",
        ""image"": ""/images/user/base/Memory/Months/February.jpg"",
        ""keywords"": [""FED"", ""BREWERY"", ""FEBRUARY""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-months/march.html,"```json
[
    {
        ""term"": ""March"",
        ""definition"": null,
        ""mnemonic"": ""March – Marching"",
        ""image"": ""/images/user/base/Memory/Months/March.jpg"",
        ""keywords"": [""March"", ""Marching""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-months/april.html,"```json
[
    {
        ""term"": ""April"",
        ""definition"": null,
        ""mnemonic"": ""April – A Pill"",
        ""image"": ""/images/user/base/Memory/Months/April.jpg"",
        ""keywords"": [""A Pill""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-months/may.html,"```json
[
    {
        ""term"": ""May"",
        ""definition"": null,
        ""mnemonic"": ""May is a MAYPOLE"",
        ""image"": ""/images/user/base/Memory/Months/May.jpg"",
        ""keywords"": [""Maypole""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-months/june.html,"```json
[
    {
        ""term"": ""June"",
        ""definition"": null,
        ""mnemonic"": ""June can be remembered as an amazing sand DUNE"",
        ""image"": ""/images/user/base/Memory/Months/June.jpg"",
        ""keywords"": [""Dune""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-months/july.html,"```json
[
    {
        ""term"": ""July"",
        ""definition"": null,
        ""mnemonic"": ""July – Due a lie down"",
        ""image"": ""/images/user/base/Memory/Months/July.jpg"",
        ""keywords"": [""Due a lie down""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-months/august.html,"```json
[
    {
        ""term"": ""August"",
        ""definition"": null,
        ""mnemonic"": ""AUGUST – All a gust of wind"",
        ""image"": ""/images/user/base/Memory/Months/August.jpg"",
        ""keywords"": [""gust""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-months/september.html,"```json
[
    {
        ""term"": ""September"",
        ""definition"": null,
        ""mnemonic"": ""September – Septic member"",
        ""image"": ""/images/user/base/Memory/Months/septic member v2.jpg"",
        ""keywords"": [""Septic"", ""member""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-months/october.html,"```json
[
    {
        ""term"": ""October"",
        ""definition"": null,
        ""mnemonic"": ""October – Octopus"",
        ""image"": ""/images/user/base/Memory/Months/october v2.jpg"",
        ""keywords"": [""October"", ""Octopus""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-months/november.html,"```json
[
    {
        ""term"": ""November"",
        ""definition"": null,
        ""mnemonic"": ""November change to superNOVA to be remEMBERed (November)"",
        ""image"": ""/images/user/base/Memory/Months/remember-november-in-remembering-months-memory-.c35f35a.jpg"",
        ""keywords"": [""superNOVA"", ""remEMBERed""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-months/december.html,"```json
[
    {
        ""term"": ""December"",
        ""definition"": null,
        ""mnemonic"": ""December – Christmas"",
        ""image"": ""/images/user/base/Memory/Months/December.jpg"",
        ""keywords"": [""December"", ""Christmas""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/remembering-the-signs-of-the-zodiac.html,"```json
[
    {
        ""term"": ""Signs of the Zodiac"",
        ""definition"": ""Astrological signs represented by specific dates in each month."",
        ""mnemonic"": ""Use the first day of any month, knowing the sign of that day allows you to work forwards and backwards to determine the span the sign covers."",
        ""image"": ""/images/user/base/Memory/Months/Grid.jpg"",
        ""keywords"": []
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/capricorn.html,"```json
[
    {
        ""term"": ""Capricorn"",
        ""definition"": ""Capricorn is the sign of the goat and occurs on January 1st."",
        ""mnemonic"": ""The goat in the cap and coat played the horn (Capricorn and goat) on stage but only the janitor was watching."",
        ""image"": ""/images/user/base/Memory/Months/goat.jpg"",
        ""keywords"": [""Cap"", ""Coat"", ""Horn"", ""Janitor""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/aquarius.html,"```json
[
    {
        ""term"": ""Aquarius"",
        ""definition"": ""Aquarius is the sign of the water bearer and occurs on 1st February."",
        ""mnemonic"": ""Aqua various – Water into beer – Fed into Brewery"",
        ""image"": ""/images/user/base/Memory/Months/aquarius v2 (2).jpg"",
        ""keywords"": [
            ""Aqua"",
            ""various"",
            ""Water"",
            ""beer"",
            ""Fed"",
            ""Brewery""
        ]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/pisces.html,"```json
[
    {
        ""term"": ""Pisces"",
        ""definition"": ""Pisces is the sign of the fish and occurs on the 1st March."",
        ""mnemonic"": ""The fish marched around the pie."",
        ""image"": ""/images/user/base/Memory/Months/Pisces.jpg"",
        ""keywords"": [""Pisces"", ""Pie"", ""Fish"", ""March"", ""Marching""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/aries.html,"```json
[
    {
        ""term"": ""Aries"",
        ""definition"": ""Sign of the ram, occurs on April 1st."",
        ""mnemonic"": ""The ram took a blue pill (April) and jumped crazily up in the air (Aries)."",
        ""image"": ""/images/user/base/Memory/Months/Aries (2).jpg"",
        ""keywords"": [""Aries – Air"", ""Ram – Ram"", ""April – A pill""]
    }
]
```"
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/taurus.html,"```json
[
    {
        ""term"": ""Taurus"",
        ""definition"": ""Taurus is the sign of the bull and occurs on May 1st."",
        ""mnemonic"": ""The bull tore up stuff so they tied him on the maypole."",
        ""image"": ""/images/user/base/Memory/Months/taurus v2.jpg"",
        ""keywords"": [""Taurus"", ""tore up"", ""Bull"", ""May"", ""Maypole""]
    }
]
```"
