url,concept_and_mnemonic
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html,"```json
[
    {
        ""term"": ""Abbie"",
        ""definition"": null,
        ""mnemonic"": ""Abbie Birthday (happy birthday)""
    },
    {
        ""term"": ""Adam"",
        ""definition"": null,
        ""mnemonic"": ""Adam Bomb (atom bomb)""
    },
    {
        ""term"": ""Addison"",
        ""definition"": null,
        ""mnemonic"": ""Addison Sun (add a sun)""
    },
    {
        ""term"": ""Al"",
        ""definition"": null,
        ""mnemonic"": ""Al Bino (albino), Al Coholic (alcoholic), Ka Seltzer (Alka-Seltzer), Al Uminium (aluminium)""
    },
    {
        ""term"": ""Alec"",
        ""definition"": null,
        ""mnemonic"": ""Alec Tricity (electricity), Alec Of Paint (a lick of paint), Alec a Lick (a lick)""
    },
    {
        ""term"": ""Alf"",
        ""definition"": null,
        ""mnemonic"": ""Alf A Romeo (Alfa Romeo), Alf Abet (alphabet)""
    },
    {
        ""term"": ""Ali"",
        ""definition"": null,
        ""mnemonic"": ""Ali Gator (alligator), Ali Katt (alley cat)""
    },
    {
        ""term"": ""Alicia"",
        ""definition"": null,
        ""mnemonic"": ""Alicia Sober (at least you're sober), Alicia Leash (A Leash)""
    },
    {
        ""term"": ""Amanda"",
        ""definition"": null,
        ""mnemonic"": ""Amanda Panda (Amanda is a panda), Amanda Lay (Mandalay), Amanda Lynn (a mandolin)""
    },
    {
        ""term"": ""Amber"",
        ""definition"": null,
        ""mnemonic"": ""Amber Stop or Go (Amber as in traffic lights)""
    },
    {
        ""term"": ""Amelia"",
        ""definition"": null,
        ""mnemonic"": ""Amelia you ate (a meal you ate)""
    },
    {
        ""term"": ""Amy"",
        ""definition"": null,
        ""mnemonic"": ""Amy Stake (a mistake)""
    },
    {
        ""term"": ""Andy"",
        ""definition"": null,
        ""mnemonic"": ""Andy Friese (antifreeze)""
    },
    {
        ""term"": ""Anita"",
        ""definition"": null,
        ""mnemonic"": ""Anita Hanke (I need a hanky), Anita Shower (I need a shower)""
    },
    {
        ""term"": ""Ann"",
        ""definition"": null,
        ""mnemonic"": ""Ann Teak (antique), Ann Vill (anvil)""
    },
    {
        ""term"": ""Anna"",
        ""definition"": null,
        ""mnemonic"": ""Anna Prentice (an apprentice), Anna Rexic (anorexic), Anna Sassin (an assassin)""
    },
    {
        ""term"": ""Annette"",
        ""definition"": null,
        ""mnemonic"": ""Annette Curtain (a net curtain)""
    },
    {
        ""term"": ""Annie"",
        ""definition"": null,
        ""mnemonic"": ""Annie Oakley (Annie Oakley was a famous American sharpshooter), Annie Briated (inebriated - drunk), Annie Body (anybody), Annie Thing (anything)""
    },
    {
        ""term"": ""April"",
        ""definition"": null,
        ""mnemonic"": ""April Shower (April shower)""
    },
    {
        ""term"": ""Aria"",
        ""definition"": null,
        ""mnemonic"": ""Aria Opera Song (Aria a solo song for a singer in an opera)""
    },
    {
        ""term"": ""Art"",
        ""definition"": null,
        ""mnemonic"": ""Art Ist (artist)""
    },
    {
        ""term"": ""Arthur"",
        ""definition"": null,
        ""mnemonic"": ""Arthur Ritis (arthritis)""
    },
    {
        ""term"": ""Asher"",
        ""definition"": null,
        ""mnemonic"": ""Asher Ashtray (Asher always carries an ashtray on her)""
    },
    {
        ""term"": ""Ashley"",
        ""definition"": null,
        ""mnemonic"": ""Ashley Tray (ash tray)""
    },
    {
        ""term"": ""Audrey"",
        ""definition"": null,
        ""mnemonic"": ""Audrey Dry (all dry)""
    },
    {
        ""term"": ""Aurora"",
        ""definition"": null,
        ""mnemonic"": ""Aurora Roar (Aurora can roar)""
    },
    {
        ""term"": ""Ava"",
        ""definition"": null,
        ""mnemonic"": ""Ava Aviary (Ava lives in an aviary)""
    }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=2,"```json
[
    {
        ""term"": ""Barb"",
        ""definition"": null,
        ""mnemonic"": ""Barb Wire (barbed wire) Movement: See them try to touch barbed wire fencing.""
    },
    {
        ""term"": ""Barbara"",
        ""definition"": null,
        ""mnemonic"": ""Barbara Wire (barbed wire) Movement: See them try to touch barbed wire fencing.""
    },
    {
        ""term"": ""Barry"",
        ""definition"": null,
        ""mnemonic"": ""Barry R. Reef (barrier reef) Movement: See them pointing out lots of beautiful coral and fish.""
    },
    {
        ""term"": ""Bea"",
        ""definition"": null,
        ""mnemonic"": ""Bee Keeper (beekeeper) Movement: Pretend been stung by a bee.""
    },
    {
        ""term"": ""Bella"",
        ""definition"": null,
        ""mnemonic"": ""Bella Button (belly button) Movement: See them do a belly dance.""
    },
    {
        ""term"": ""Ben"",
        ""definition"": null,
        ""mnemonic"": ""Ben Dover (bend over) Movement: See them bend over backwards.""
    },
    {
        ""term"": ""Bess"",
        ""definition"": null,
        ""mnemonic"": ""Bess Eaton (best eaten before) Movement: See them pick up smelly food.""
    },
    {
        ""term"": ""Bess"",
        ""definition"": null,
        ""mnemonic"": ""Bess Friend (best friend) Movement: Ask her if she is sitting next to her best friend.""
    },
    {
        ""term"": ""Bev"",
        ""definition"": null,
        ""mnemonic"": ""Bev Erage (beverage) Movement: See them offer people drinks.""
    },
    {
        ""term"": ""Biff"",
        ""definition"": null,
        ""mnemonic"": ""Biff Burger (beef burger) Movement: See them eat giant beef burger.""
    },
    {
        ""term"": ""Bill"",
        ""definition"": null,
        ""mnemonic"": ""Bill Board (billboard)""
    },
    {
        ""term"": ""Bill"",
        ""definition"": null,
        ""mnemonic"": ""Bill Ding (building)""
    },
    {
        ""term"": ""Bill"",
        ""definition"": null,
        ""mnemonic"": ""Bill Der (builder) Movement: See them building something.""
    },
    {
        ""term"": ""Billy"",
        ""definition"": null,
        ""mnemonic"": ""Billy goat (A male goat) Movement: See them act as a billy goat.""
    },
    {
        ""term"": ""Bob"",
        ""definition"": null,
        ""mnemonic"": ""Bob Upandown (bob up and down) Movement: See them bob up and down.""
    },
    {
        ""term"": ""Bonnie"",
        ""definition"": null,
        ""mnemonic"": ""Bonnie and Clyde (Bonnie and Clyde, famous robbers) Movement: See them take part in a heist.""
    },
    {
        ""term"": ""Bonnie"",
        ""definition"": null,
        ""mnemonic"": ""Bonnie Car (car bonnet)""
    },
    {
        ""term"": ""Brandon"",
        ""definition"": null,
        ""mnemonic"": ""Brandon Cattell (branding cattle) Movement: See them trying to brand something.""
    },
    {
        ""term"": ""Brenda"",
        ""definition"": null,
        ""mnemonic"": ""Brenda Bender (Brenda the bender) Movement: See her trying to bend something.""
    },
    {
        ""term"": ""Brenda"",
        ""definition"": null,
        ""mnemonic"": ""Bren gun and surrenda Brenda will surrender""
    },
    {
        ""term"": ""Brian"",
        ""definition"": null,
        ""mnemonic"": ""Brian Surgeon (brain surgeon) Movement: See them trying out a brain operation.""
    },
    {
        ""term"": ""Brian"",
        ""definition"": null,
        ""mnemonic"": ""Brian - Life of Brian (Brian in famous film Life of Brian) Movement: See someone stand by him and say, \""He is not the Messiah, he is a very naughty boy.\""""
    },
    {
        ""term"": ""Brice"",
        ""definition"": null,
        ""mnemonic"": ""Brice Tag (price tag) Movement: Using a price tag gun.""
    },
    {
        ""term"": ""Brock"",
        ""definition"": null,
        ""mnemonic"": ""Brock Colley (broccoli) Movement: See them eat a raw broccoli stem.""
    },
    {
        ""term"": ""Bud"",
        ""definition"": null,
        ""mnemonic"": ""Bud Weiser (Budweiser) Movement: See them drink and then say Wassup.""
    }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=3,"```json
[
    {
        ""term"": ""Cal"",
        ""definition"": null,
        ""mnemonic"": ""Cal Culator (calculator)""
    },
    {
        ""term"": ""Camila"",
        ""definition"": null,
        ""mnemonic"": ""Camila Queen (Camila is the Queen of Britain)""
    },
    {
        ""term"": ""Candy"",
        ""definition"": null,
        ""mnemonic"": ""Candy Bar (candy bar)""
    },
    {
        ""term"": ""Cara"",
        ""definition"": null,
        ""mnemonic"": ""Cara Van (caravan)""
    },
    {
        ""term"": ""Carl"",
        ""definition"": null,
        ""mnemonic"": ""Carl Alarm (car alarm), Carl Breakdown (car will break down)""
    },
    {
        ""term"": ""Carrie"",
        ""definition"": null,
        ""mnemonic"": ""Carrie Abag (carrier bag), Carrie Cot (carrycot), Carrie Oaky (karaoke)""
    },
    {
        ""term"": ""Charlotte"",
        ""definition"": null,
        ""mnemonic"": ""Charlotte Lady (charlady), Charlotte Sharllot (shallot)""
    },
    {
        ""term"": ""Cher"",
        ""definition"": null,
        ""mnemonic"": ""Cher Ing (sharing)""
    },
    {
        ""term"": ""Chip"",
        ""definition"": null,
        ""mnemonic"": ""Chip Munk (chipmunk)""
    },
    {
        ""term"": ""Chloe"",
        ""definition"": null,
        ""mnemonic"": ""Chloe Clone (Chloe has a clone), Chloe Clover (Chloe is a clover)""
    },
    {
        ""term"": ""Chris"",
        ""definition"": null,
        ""mnemonic"": ""Chris Cross (criss-cross), Chris Crisp (Chris is a crisp), Chris P. Bacon (crispy bacon)""
    },
    {
        ""term"": ""Chuck"",
        ""definition"": null,
        ""mnemonic"": ""Chuck up (chuck up)""
    },
    {
        ""term"": ""Claire"",
        ""definition"": null,
        ""mnemonic"": ""Claire Annette (clarinet), Claire Voyant (clairvoyant)""
    },
    {
        ""term"": ""Colin"",
        ""definition"": null,
        ""mnemonic"": ""Colin Sick (call in sick)""
    },
    {
        ""term"": ""Constance"",
        ""definition"": null,
        ""mnemonic"": ""Constance Snoring (constant snoring)""
    },
    {
        ""term"": ""Corey"",
        ""definition"": null,
        ""mnemonic"": ""O'Graff (choreograph)""
    },
    {
        ""term"": ""Cosmo"",
        ""definition"": null,
        ""mnemonic"": ""Cosmo Naut (cosmonaut)""
    },
    {
        ""term"": ""Courtney"",
        ""definition"": null,
        ""mnemonic"": ""Courtney Fish (caught any fish)""
    },
    {
        ""term"": ""Crystal"",
        ""definition"": null,
        ""mnemonic"": ""Crystal Ball (crystal ball)""
    },
    {
        ""term"": ""Curt"",
        ""definition"": null,
        ""mnemonic"": ""Curt Ain (curtain), Curt Sy (curtsy)""
    },
    {
        ""term"": ""Cyril"",
        ""definition"": null,
        ""mnemonic"": ""Cyril Box (cereal box), Cyril Killer (serial killer)""
    }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=4,"```json
[
    {
        ""term"": ""Daisy"",
        ""definition"": null,
        ""mnemonic"": ""Daisy Picking""
    },
    {
        ""term"": ""Dale"",
        ""definition"": null,
        ""mnemonic"": ""Dale E. Paper (daily paper)""
    },
    {
        ""term"": ""Damien"",
        ""definition"": null,
        ""mnemonic"": ""Damien Hurst (Damien Hurst, famous artist)""
    },
    {
        ""term"": ""Dan"",
        ""definition"": null,
        ""mnemonic"": ""Dan D. Lions (dandelions), Dan Druff (dandruff), Dan Singh (dancing)""
    },
    {
        ""term"": ""Danielle"",
        ""definition"": null,
        ""mnemonic"": ""Danielle Lionsden (Danielle in the Lions' Den (Bible))""
    },
    {
        ""term"": ""Darren"",
        ""definition"": null,
        ""mnemonic"": ""Darren Runs (the runs), Darren Wrench (Darren the wrench), Darren Daz (Daz is a nickname for Darren)""
    },
    {
        ""term"": ""Debbie"",
        ""definition"": null,
        ""mnemonic"": ""Deb Bie (dead bee)""
    },
    {
        ""term"": ""Dee"",
        ""definition"": null,
        ""mnemonic"": ""Dee Kay (decay), Dee Capitate (decapitate)""
    },
    {
        ""term"": ""Dennis"",
        ""definition"": null,
        ""mnemonic"": ""Dennis Elbow (tennis elbow), Dennis Dentist (Dennis at the dentist)""
    },
    {
        ""term"": ""Des"",
        ""definition"": null,
        ""mnemonic"": ""Des Perate (desperate), Des Pickable Me (despicable me)""
    },
    {
        ""term"": ""Dia"",
        ""definition"": null,
        ""mnemonic"": ""Dia Ria (diarrhoea), Dia Per (diaper), Di Laughing (die laughing)""
    },
    {
        ""term"": ""Diane"",
        ""definition"": null,
        ""mnemonic"": ""Diane O'Saur (dinosaur)""
    },
    {
        ""term"": ""Dick"",
        ""definition"": null,
        ""mnemonic"": ""Dick Tator (dictator)""
    },
    {
        ""term"": ""Dinah"",
        ""definition"": null,
        ""mnemonic"": ""Dinah Saur (dinosaur)""
    },
    {
        ""term"": ""Dom"",
        ""definition"": null,
        ""mnemonic"": ""Dom Estickhelp (domestic help), Dom Minatrix (dominatrix)""
    },
    {
        ""term"": ""Don"",
        ""definition"": null,
        ""mnemonic"": ""Don Key (donkey)""
    },
    {
        ""term"": ""Donald"",
        ""definition"": null,
        ""mnemonic"": ""Donald Duck""
    },
    {
        ""term"": ""Doris"",
        ""definition"": null,
        ""mnemonic"": ""Doris Shut (door is shut)""
    },
    {
        ""term"": ""Dot"",
        ""definition"": null,
        ""mnemonic"": ""Dot Ty (dotty)""
    },
    {
        ""term"": ""Doug"",
        ""definition"": null,
        ""mnemonic"": ""Doug Up (dug up), Doug Graves (dug graves), Doug Hole (dug hole)""
    },
    {
        ""term"": ""Drew"",
        ""definition"": null,
        ""mnemonic"": ""Drew Blood (drew blood), Drew a'Picture (drew a picture)""
    },
    {
        ""term"": ""Duane"",
        ""definition"": null,
        ""mnemonic"": ""Duane Pipe (drainpipe)""
    },
    {
        ""term"": ""Duncan"",
        ""definition"": null,
        ""mnemonic"": ""Duncan Disorderly (drunk and disorderly), Duncan Donuts (Dunkin' Donuts)""
    },
    {
        ""term"": ""Dusty"",
        ""definition"": null,
        ""mnemonic"": ""Dusty Place (dusty place), Dusty Rhodes (dusty roads)""
    },
    {
        ""term"": ""Dwayne"",
        ""definition"": null,
        ""mnemonic"": ""Dwayne Pipe (drain pipe)""
    },
    {
        ""term"": ""Dwight"",
        ""definition"": null,
        ""mnemonic"": ""Dwight House (White House)""
    }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=5,"```json
[
    {
        ""term"": ""Earl"",
        ""definition"": null,
        ""mnemonic"": ""Earl Grey (Earl Grey tea). Movement: See them make a cup of tea using Earl Grey tea. Earl E. Bird (early bird gets the worm). Lee Riser (early riser).""
    },
    {
        ""term"": ""Ed"",
        ""definition"": null,
        ""mnemonic"": ""Ed Ducation (education). Ed Wardian (Edwardian). Ed Ortails (heads or tails). Movement: See them flick a coin for heads or tails. Ed Andshoulders (head and shoulders).""
    },
    {
        ""term"": ""Edward"",
        ""definition"": null,
        ""mnemonic"": ""Edward Scissorhands from the film. Movement: See him use his scissor hands.""
    },
    {
        ""term"": ""Eileen"",
        ""definition"": null,
        ""mnemonic"": ""Eileen Over (I lean over). Movement: See them lean over.""
    },
    {
        ""term"": ""Elaine"",
        ""definition"": null,
        ""mnemonic"": ""Elaine on Motorway. Elaine - should there be just a lane for E cars or electric cars? Movement: See them start an electric car.""
    },
    {
        ""term"": ""Eleanor"",
        ""definition"": null,
        ""mnemonic"": ""Eleanor Rigby picks up the rice (Beatles song). Movement: See her pick up the rice.""
    },
    {
        ""term"": ""Elias"",
        ""definition"": null,
        ""mnemonic"": ""Elias lies to us. Elias - he lies to us. Movement: Ask them to say a lie and have a snake tongue.""
    },
    {
        ""term"": ""Elijah"",
        ""definition"": null,
        ""mnemonic"": ""Elijah just came from your mouth (a lie just came from your mouth). Movement: See them say a lie to everything and have a snake tongue.""
    },
    {
        ""term"": ""Ella"",
        ""definition"": null,
        ""mnemonic"": ""Ella Cinder (Cinderella). Ella Vator (elevator). Ella Umb Ella (Ella umbrella). Movement: See Ella open an umbrella.""
    },
    {
        ""term"": ""Elle"",
        ""definition"": null,
        ""mnemonic"": ""Elle Phant (elephant). Movement: See her make a noise like an elephant.""
    },
    {
        ""term"": ""Ellis"",
        ""definition"": null,
        ""mnemonic"": ""Ellis Island, America's busiest inspection and processing centre. Movement: See them inspect someone and decide if they can enter the country.""
    },
    {
        ""term"": ""Emma"",
        ""definition"": null,
        ""mnemonic"": ""Emma Royds (haemorrhoids). Movement: See her walk around painfully.""
    },
    {
        ""term"": ""Erica"",
        ""definition"": null,
        ""mnemonic"": ""Erica America (Erica comes from America). Movement: See her speak with an American accent.""
    },
    {
        ""term"": ""Estelle"",
        ""definition"": null,
        ""mnemonic"": ""Estelle Hertz (it still hurts). Movement: See her estimate how much it hurts from a chart 10 at top is 100% pain.""
    },
    {
        ""term"": ""Ethan"",
        ""definition"": null,
        ""mnemonic"": ""Ethan thanks everyone. Ethan he thanked everyone. Movement: See him thank everyone.""
    },
    {
        ""term"": ""Euan"",
        ""definition"": null,
        ""mnemonic"": ""Euan Hoosarmy (you and whose army?). Movement: See them trying to start a fight.""
    },
    {
        ""term"": ""Eunice"",
        ""definition"": null,
        ""mnemonic"": ""Eunice Cycle (unicycle). Movement: See them try and ride a unicycle.""
    },
    {
        ""term"": ""Evan"",
        ""definition"": null,
        ""mnemonic"": ""Evan Keel (even keel). Evan and Odds (Even and odds). Movement: See them flick a coin for heads or tails. Evan Above (heavens above). Movement: See an angel come down from heaven above.""
    },
    {
        ""term"": ""Eve"",
        ""definition"": null,
        ""mnemonic"": ""Eve Angelical (evangelical). Eve and Adam (Adam and Eve). Movement: See her eat an apple. Eve Ho (heave ho). Eve Ningall (evening all).""
    },
    {
        ""term"": ""Evelyn"",
        ""definition"": null,
        ""mnemonic"": ""Eve Adam. Eve of Adam and Eve lingers. Movement: See Eve eat and apple.""
    },
    {
        ""term"": ""Ewan"",
        ""definition"": null,
        ""mnemonic"": ""Ewan Mee (you and me). Movement: See her point at a chart 10 high 1 low how much she loves you. Ewan The Sheep (you and the sheep). Ewan Hoosarmy (you and whose army?).""
    },
    {
        ""term"": ""Ezra"",
        ""definition"": null,
        ""mnemonic"": ""Ezra the Fez (Ezra wears a fez and does a rap). Movement: Ask them to put on their fez and do a rap song.""
    }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=6,"```json
[
    {
        ""term"": ""Faye"",
        ""definition"": null,
        ""mnemonic"": ""Faye Away (fade away), Faye Kingit (faking it), Faye Slift (facelift), Fay Sake (face ache), Faye Macadamy (fame academy)""
    },
    {
        ""term"": ""Flo"",
        ""definition"": null,
        ""mnemonic"": ""Flo Taway (float away with the fairies)""
    },
    {
        ""term"": ""Frank"",
        ""definition"": null,
        ""mnemonic"": ""Frank Enstein (Frankenstein)""
    },
    {
        ""term"": ""Freda"",
        ""definition"": null,
        ""mnemonic"": ""Freda Go (free to go)""
    }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=7,"```json
[
    {
        ""term"": ""Gabriel"",
        ""definition"": null,
        ""mnemonic"": ""Gabriel Angel (Gabriel was the angel sent by God to tell Mary that she would become pregnant and give birth to Jesus.)""
    },
    {
        ""term"": ""Gail"",
        ""definition"": null,
        ""mnemonic"": ""Gail Force (gale force wind)""
    },
    {
        ""term"": ""Gene"",
        ""definition"": null,
        ""mnemonic"": ""Gene Poole (gene pool)""
    },
    {
        ""term"": ""Greyson"",
        ""definition"": null,
        ""mnemonic"": ""Greyson Sculpturist (Greyson is known for his ceramic vases and cross dressing.)""
    },
    {
        ""term"": ""Guy"",
        ""definition"": null,
        ""mnemonic"": ""Guy Forks (Guy Fawkes) / Guy Wire (guy wire)""
    },
    {
        ""term"": ""Gwen"",
        ""definition"": null,
        ""mnemonic"": ""Gwen Evere (Guinevere - Arthur's wife)""
    }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=8,"```json
[
    {
        ""term"": ""Hal"",
        ""definition"": null,
        ""mnemonic"": ""Hal Itosis (halitosis - bad breath)""
    },
    {
        ""term"": ""Harper"",
        ""definition"": null,
        ""mnemonic"": ""Harp Poon (harpoon)""
    },
    {
        ""term"": ""Harry"",
        ""definition"": null,
        ""mnemonic"": ""Harry Potter (Harry Potter - wizard)""
    },
    {
        ""term"": ""Harry"",
        ""definition"": null,
        ""mnemonic"": ""Harry Kiri (harakiri)""
    },
    {
        ""term"": ""Harry"",
        ""definition"": null,
        ""mnemonic"": ""Harry Hairy (Harry is hairy)""
    },
    {
        ""term"": ""Hazel"",
        ""definition"": null,
        ""mnemonic"": ""Hazel Nut (hazelnut)""
    },
    {
        ""term"": ""Heather"",
        ""definition"": null,
        ""mnemonic"": ""Heather Feather (feather)""
    },
    {
        ""term"": ""Helen"",
        ""definition"": null,
        ""mnemonic"": ""Helen Troy (Helen of Troy, the most beautiful woman in the world)""
    },
    {
        ""term"": ""Helen"",
        ""definition"": null,
        ""mnemonic"": ""Helen Back (to hell and back)""
    },
    {
        ""term"": ""Helen"",
        ""definition"": null,
        ""mnemonic"": ""Helen Waite (go to hell and wait)""
    },
    {
        ""term"": ""Henry"",
        ""definition"": null,
        ""mnemonic"": ""Henry the 8th King of England""
    },
    {
        ""term"": ""Holly"",
        ""definition"": null,
        ""mnemonic"": ""Holly Bush (holly bush)""
    },
    {
        ""term"": ""Holly"",
        ""definition"": null,
        ""mnemonic"": ""Holly Day (holiday)""
    },
    {
        ""term"": ""Holly"",
        ""definition"": null,
        ""mnemonic"": ""Holly Wood (Hollywood)""
    },
    {
        ""term"": ""Honey"",
        ""definition"": null,
        ""mnemonic"": ""Honey Bee (honey bee)""
    },
    {
        ""term"": ""Hudson"",
        ""definition"": null,
        ""mnemonic"": ""Hudson Bay Company traded, initially in furs""
    },
    {
        ""term"": ""Hugh"",
        ""definition"": null,
        ""mnemonic"": ""Hugh Jass (huge ass)""
    }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=9,"```json
[
    {
        ""term"": ""Ian"",
        ""definition"": null,
        ""mnemonic"": ""I am nothing""
    },
    {
        ""term"": ""Imogen"",
        ""definition"": null,
        ""mnemonic"": ""Imogen Drinker (him a gin drinker), Im O Gen (I'm a gentleman)""
    },
    {
        ""term"": ""Iona"",
        ""definition"": null,
        ""mnemonic"": ""Iona Farm (I own a farm), Iona Frisbee (I own a frisbee)""
    },
    {
        ""term"": ""Ira"",
        ""definition"": null,
        ""mnemonic"": ""Ira I.R.A. (Ira the I.R.A.)""
    },
    {
        ""term"": ""Isabel"",
        ""definition"": null,
        ""mnemonic"": ""Isabel Ringing (is a bell ringing?)""
    },
    {
        ""term"": ""Iva"",
        ""definition"": null,
        ""mnemonic"": ""Iva Payne (I have a pain)""
    },
    {
        ""term"": ""Ivan"",
        ""definition"": null,
        ""mnemonic"": ""Ivan Odour (I have an odour)""
    },
    {
        ""term"": ""Ivy"",
        ""definition"": null,
        ""mnemonic"": ""Ivy League (Ivy League), Ivy Upthewall (Ivy grows up the wall), Ivy Poison (poison ivy)""
    }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=10,"```json
[
    {
        ""term"": ""Jack"",
        ""definition"": null,
        ""mnemonic"": ""Jack Pot (jackpot), Jack Hammer (jackhammer), Movement: See them use a jack hammer.""
    },
    {
        ""term"": ""James"",
        ""definition"": null,
        ""mnemonic"": ""James Bond (James Bond 007), Movement: See them walk on and suddenly point a gun.""
    },
    {
        ""term"": ""Jan"",
        ""definition"": null,
        ""mnemonic"": ""Jan Ittor (janitor), Movement: See them using a mop and bucket.""
    },
    {
        ""term"": ""Jay"",
        ""definition"": null,
        ""mnemonic"": ""Jay Walker (jaywalker), Movement: See them putting up their hands to stop traffic. Jay - has lazy parents (Jay - has lazy parents who couldn't be bothered to choose a name other than pick a letter from the alphabet), Movement: See them have really lazy parents.""
    },
    {
        ""term"": ""Jean"",
        ""definition"": null,
        ""mnemonic"": ""Jean Denim (denim jeans), Jean Poole (gene pool), Jean E (genie in a bottle), Movement: See them rub the side of a lamp.""
    },
    {
        ""term"": ""Jeanette"",
        ""definition"": null,
        ""mnemonic"": ""Jeanette-ic Engineer (genetic engineer), Movement: See them act like a mad scientists shouting \""science!\"".""
    },
    {
        ""term"": ""Jed"",
        ""definition"": null,
        ""mnemonic"": ""Jed Dye (Jedi), Movement: See them wave a lightsabre.""
    },
    {
        ""term"": ""Jeff"",
        ""definition"": null,
        ""mnemonic"": ""Jeff Chef (Jeff is a chef), Movement: See the person act like a chef and throw pancakes up in the air.""
    },
    {
        ""term"": ""Jenny"",
        ""definition"": null,
        ""mnemonic"": ""Jenny Flect (genuflect), Movement: See them genuflect to you as if you are the Queen or King.""
    },
    {
        ""term"": ""Jerry"",
        ""definition"": null,
        ""mnemonic"": ""Jerry Attric (geriatric), Jerry Tom (Tom & Jerry), Movement: See them use a giant mallet to whack Tom Cats head as in the cartoon.""
    },
    {
        ""term"": ""Jess"",
        ""definition"": null,
        ""mnemonic"": ""Jess Tate (gestate), Movement: See them being very pregnant. Jess-ee-James (Jesse James (gunslinger))""
    },
    {
        ""term"": ""Jessica"",
        ""definition"": null,
        ""mnemonic"": ""Jessica Rabbit (Jessica Rabbit is in Who Framed Roger Rabbit), Movement: Ask her why she always wears red.""
    },
    {
        ""term"": ""Jim"",
        ""definition"": null,
        ""mnemonic"": ""Jim Nastic (gymnastic), Movement: See them do a handstand. Jim Cricket (Jiminy Cricket), Jim Shorts (gym shorts), Jim Shoe (gym shoe), Jim Nasium (gymnasium)""
    },
    {
        ""term"": ""Jo"",
        ""definition"": null,
        ""mnemonic"": ""Jo Ker (joker), Movement: See them do the best joker laugh.""
    },
    {
        ""term"": ""Joanna"",
        ""definition"": null,
        ""mnemonic"": ""Joanna Pian'a' (Joanna is London slang for piano), Movement: See them playing piano.""
    },
    {
        ""term"": ""Joe"",
        ""definition"": null,
        ""mnemonic"": ""Joe Kerr (joker)""
    },
    {
        ""term"": ""Joel"",
        ""definition"": null,
        ""mnemonic"": ""Joel Billy (Billy Joel), Movement: See them singing a famous Billy Joel song.""
    },
    {
        ""term"": ""John"",
        ""definition"": null,
        ""mnemonic"": ""John Baptist (John the Baptist), Movement: See them baptise you.""
    },
    {
        ""term"": ""Jordan"",
        ""definition"": null,
        ""mnemonic"": ""Jordan Michael (Jordan or Michael Jordan is the greatest basketball player of all time), Movement: See them shot an imaginary basketball.""
    },
    {
        ""term"": ""Joy"",
        ""definition"": null,
        ""mnemonic"": ""Joy Rider (joyrider), Movement: See them ride a chopper motorbike.""
    },
    {
        ""term"": ""Juan"",
        ""definition"": null,
        ""mnemonic"": ""Juan Man Band (one-man band), Movement: See them playing a number of instruments at once.""
    },
    {
        ""term"": ""June"",
        ""definition"": null,
        ""mnemonic"": ""June Buggy (dune buggy), Movement: See them riding and bouncing over sand dunes.""
    },
    {
        ""term"": ""Justin"",
        ""definition"": null,
        ""mnemonic"": ""Justin Case (just in case), Movement: See them opening loads of cases with lots of odd things in. Justin Hale (just inhale), Justin Time (just in time)""
    }
]
```"
