url,concept_and_mnemonic
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html,"```json
[
    { ""name"": ""Abbie"", ""mnemonic"": ""Abbie Birthday (happy birthday)"" },
    { ""name"": ""Adam"", ""mnemonic"": ""Adam Bomb (atom bomb)"" },
    { ""name"": ""Addison"", ""mnemonic"": ""Addison Sun (add a sun)"" },
    { ""name"": ""Al"", ""mnemonic"": ""Al Bino (albino), Al Coholic (alcoholic), Ka Seltzer (Alka-Seltzer), Al Uminium (aluminium)"" },
    { ""name"": ""Alec"", ""mnemonic"": ""Alec Tricity (electricity), Alec Of Paint (a lick of paint), Alec a Lick (a lick)"" },
    { ""name"": ""Alf"", ""mnemonic"": ""Alf A Romeo (Alfa Romeo), Alf Abet (alphabet)"" },
    { ""name"": ""Ali"", ""mnemonic"": ""Ali Gator (alligator), Ali Katt (alley cat)"" },
    { ""name"": ""Alicia"", ""mnemonic"": ""Alicia Sober (at least you're sober), Alicia Leash (A Leash)"" },
    { ""name"": ""Amanda"", ""mnemonic"": ""Amanda Panda (Amanda is a panda), Amanda Lay (Mandalay), Amanda Lynn (a mandolin)"" },
    { ""name"": ""Amber"", ""mnemonic"": ""Amber Stop or Go (Amber as in traffic lights)"" },
    { ""name"": ""Amelia"", ""mnemonic"": ""Amelia you ate (a meal you ate)"" },
    { ""name"": ""Amy"", ""mnemonic"": ""Amy Stake (a mistake)"" },
    { ""name"": ""Andy"", ""mnemonic"": ""Andy Friese (antifreeze)"" },
    { ""name"": ""Anita"", ""mnemonic"": ""Anita Hanke (I need a hanky), Anita Shower (I need a shower)"" },
    { ""name"": ""Ann"", ""mnemonic"": ""Ann Teak (antique), Ann Vill (anvil)"" },
    { ""name"": ""Anna"", ""mnemonic"": ""Anna Prentice (an apprentice), Anna Rexic (anorexic), Anna Sassin (an assassin)"" },
    { ""name"": ""Annette"", ""mnemonic"": ""Annette Curtain (a net curtain)"" },
    { ""name"": ""Annie"", ""mnemonic"": ""Annie Oakley (Annie Oakley was a famous American sharpshooter), Annie Briated (inebriated - drunk), Annie Body (anybody), Annie Thing (anything)"" },
    { ""name"": ""April"", ""mnemonic"": ""April Shower (April shower)"" },
    { ""name"": ""Aria"", ""mnemonic"": ""Aria Opera Song (Aria a solo song for a singer in an opera)"" },
    { ""name"": ""Art"", ""mnemonic"": ""Art Ist (artist)"" },
    { ""name"": ""Arthur"", ""mnemonic"": ""Arthur Ritis (arthritis)"" },
    { ""name"": ""Asher"", ""mnemonic"": ""Asher Ashtray (Asher always carries an ashtray on her)"" },
    { ""name"": ""Ashley"", ""mnemonic"": ""Ashley Tray (ash tray)"" },
    { ""name"": ""Audrey"", ""mnemonic"": ""Audrey Dry (all dry)"" },
    { ""name"": ""Aurora"", ""mnemonic"": ""Aurora Roar (Aurora can roar)"" },
    { ""name"": ""Ava"", ""mnemonic"": ""Ava Aviary (Ava lives in an aviary)"" }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=2,"```json
[
    { ""name"": ""Barb"", ""mnemonic"": ""Barb Wire (barbed wire) Movement: See them try to touch barbed wire fencing."" },
    { ""name"": ""Barbara"", ""mnemonic"": ""Barbara Wire (barbed wire) Movement: See them try to touch barbed wire fencing."" },
    { ""name"": ""Barry"", ""mnemonic"": ""Barry R. Reef (barrier reef) Movement: See them pointing out lots of beautiful coral and fish."" },
    { ""name"": ""Bea"", ""mnemonic"": ""Bee Keeper (beekeeper) Movement: Pretend been stung by a bee."" },
    { ""name"": ""Bella"", ""mnemonic"": ""Bella Button (belly button) Movement: See them do a belly dance."" },
    { ""name"": ""Ben"", ""mnemonic"": ""Ben Dover (bend over) Movement: See them bend over backwards."" },
    { ""name"": ""Bess"", ""mnemonic"": ""Bess Eaton (best eaten before) Movement: See them pick up smelly food."" },
    { ""name"": ""Bess"", ""mnemonic"": ""Bess Friend (best friend) Movement: Ask her if she is sitting next to her best friend."" },
    { ""name"": ""Bev"", ""mnemonic"": ""Bev Erage (beverage) Movement: See them offer people drinks."" },
    { ""name"": ""Biff"", ""mnemonic"": ""Biff Burger (beef burger) Movement: See them eat giant beef burger."" },
    { ""name"": ""Bill"", ""mnemonic"": ""Bill Board (billboard)"" },
    { ""name"": ""Bill"", ""mnemonic"": ""Bill Ding (building)"" },
    { ""name"": ""Bill"", ""mnemonic"": ""Bill Der (builder) Movement: See them building something."" },
    { ""name"": ""Billy"", ""mnemonic"": ""Billy goat (A male goat) Movement: See them act as a billy goat."" },
    { ""name"": ""Bob"", ""mnemonic"": ""Bob Upandown (bob up and down) Movement: See them bob up and down."" },
    { ""name"": ""Bonnie"", ""mnemonic"": ""Bonnie and Clyde (Bonnie and Clyde, famous robbers) Movement: See them take part in a heist."" },
    { ""name"": ""Bonnie"", ""mnemonic"": ""Bonnie Car (car bonnet)"" },
    { ""name"": ""Brandon"", ""mnemonic"": ""Brandon Cattell (branding cattle) Movement: See them trying to brand something."" },
    { ""name"": ""Brenda"", ""mnemonic"": ""Brenda Bender (Brenda the bender) Movement: See her trying to bend something."" },
    { ""name"": ""Brenda"", ""mnemonic"": ""Bren gun and surrenda Brenda will surrender"" },
    { ""name"": ""Brian"", ""mnemonic"": ""Brian Surgeon (brain surgeon) Movement: See them trying out a brain operation."" },
    { ""name"": ""Brian"", ""mnemonic"": ""Brian - Life of Brian (Brian in famous film Life of Brian) Movement: See someone stand by him and say, \""He is not the Messiah, he is a very naughty boy.\"""" },
    { ""name"": ""Brice"", ""mnemonic"": ""Brice Tag (price tag) Movement: Using a price tag gun."" },
    { ""name"": ""Brock"", ""mnemonic"": ""Brock Colley (broccoli) Movement: See them eat a raw broccoli stem."" },
    { ""name"": ""Bud"", ""mnemonic"": ""Bud Weiser (Budweiser) Movement: See them drink and then say Wassup."" }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=3,"```json
[
    { ""name"": ""Cal"", ""mnemonic"": ""Cal Culator (calculator)"" },
    { ""name"": ""Camila"", ""mnemonic"": ""Camila Queen (Camila is the Queen of Britain)"" },
    { ""name"": ""Candy"", ""mnemonic"": ""Candy Bar (candy bar)"" },
    { ""name"": ""Cara"", ""mnemonic"": ""Cara Van (caravan)"" },
    { ""name"": ""Carl"", ""mnemonic"": ""Carl Alarm (car alarm), Carl Breakdown (car will break down)"" },
    { ""name"": ""Carrie"", ""mnemonic"": ""Carrie Abag (carrier bag), Carrie Cot (carrycot), Carrie Oaky (karaoke)"" },
    { ""name"": ""Charlotte"", ""mnemonic"": ""Charlotte Lady (charlady), Charlotte Sharllot (shallot)"" },
    { ""name"": ""Cher"", ""mnemonic"": ""Cher Ing (sharing)"" },
    { ""name"": ""Chip"", ""mnemonic"": ""Chip Munk (chipmunk)"" },
    { ""name"": ""Chloe"", ""mnemonic"": ""Chloe Clone (Chloe has a clone), Chloe Clover (Chloe is a clover)"" },
    { ""name"": ""Chris"", ""mnemonic"": ""Chris Cross (criss-cross), Chris Crisp (Chris is a crisp), Chris P. Bacon (crispy bacon)"" },
    { ""name"": ""Chuck"", ""mnemonic"": ""Chuck up (chuck up)"" },
    { ""name"": ""Claire"", ""mnemonic"": ""Claire Annette (clarinet), Claire Voyant (clairvoyant)"" },
    { ""name"": ""Colin"", ""mnemonic"": ""Colin Sick (call in sick)"" },
    { ""name"": ""Constance"", ""mnemonic"": ""Constance Snoring (constant snoring)"" },
    { ""name"": ""Corey"", ""mnemonic"": ""O'Graff (choreograph)"" },
    { ""name"": ""Cosmo"", ""mnemonic"": ""Cosmo Naut (cosmonaut)"" },
    { ""name"": ""Courtney"", ""mnemonic"": ""Courtney Fish (caught any fish)"" },
    { ""name"": ""Crystal"", ""mnemonic"": ""Crystal Ball (crystal ball)"" },
    { ""name"": ""Curt"", ""mnemonic"": ""Curt Ain (curtain), Curt Sy (curtsy)"" },
    { ""name"": ""Cyril"", ""mnemonic"": ""Cyril Box (cereal box), Cyril Killer (serial killer)"" }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=4,"```json
[
    { ""name"": ""Daisy"", ""mnemonic"": ""Daisy Picking"" },
    { ""name"": ""Dale"", ""mnemonic"": ""Dale E. Paper (daily paper)"" },
    { ""name"": ""Damien"", ""mnemonic"": ""Damien Hurst (Damien Hurst, famous artist)"" },
    { ""name"": ""Dan"", ""mnemonic"": ""Dan D. Lions (dandelions), Dan Druff (dandruff), Dan Singh (dancing)"" },
    { ""name"": ""Danielle"", ""mnemonic"": ""Danielle Lionsden (Danielle in the Lions' Den (Bible))"" },
    { ""name"": ""Darren"", ""mnemonic"": ""Darren Runs (the runs), Darren Wrench (Darren the wrench), Darren Daz (Daz is a nickname for Darren)"" },
    { ""name"": ""Debbie"", ""mnemonic"": ""Deb Bie (dead bee)"" },
    { ""name"": ""Dee"", ""mnemonic"": ""Dee Kay (decay), Dee Capitate (decapitate)"" },
    { ""name"": ""Dennis"", ""mnemonic"": ""Dennis Elbow (tennis elbow), Dennis Dentist (Dennis at the dentist)"" },
    { ""name"": ""Des"", ""mnemonic"": ""Des Perate (desperate), Des Pickable Me (despicable me)"" },
    { ""name"": ""Dia"", ""mnemonic"": ""Dia Ria (diarrhoea), Dia Per (diaper), Di Laughing (die laughing)"" },
    { ""name"": ""Diane"", ""mnemonic"": ""Diane O'Saur (dinosaur)"" },
    { ""name"": ""Dick"", ""mnemonic"": ""Dick Tator (dictator)"" },
    { ""name"": ""Dinah"", ""mnemonic"": ""Dinah Saur (dinosaur)"" },
    { ""name"": ""Dom"", ""mnemonic"": ""Dom Estickhelp (domestic help), Dom Minatrix (dominatrix)"" },
    { ""name"": ""Don"", ""mnemonic"": ""Don Key (donkey)"" },
    { ""name"": ""Donald"", ""mnemonic"": ""Donald Duck"" },
    { ""name"": ""Doris"", ""mnemonic"": ""Doris Shut (door is shut)"" },
    { ""name"": ""Dot"", ""mnemonic"": ""Dot Ty (dotty)"" },
    { ""name"": ""Doug"", ""mnemonic"": ""Doug Up (dug up), Doug Graves (dug graves), Doug Hole (dug hole)"" },
    { ""name"": ""Drew"", ""mnemonic"": ""Drew Blood (drew blood), Drew a'Picture (drew a picture)"" },
    { ""name"": ""Duane"", ""mnemonic"": ""Duane Pipe (drainpipe)"" },
    { ""name"": ""Duncan"", ""mnemonic"": ""Duncan Disorderly (drunk and disorderly), Duncan Donuts (Dunkin' Donuts)"" },
    { ""name"": ""Dusty"", ""mnemonic"": ""Dusty Place (dusty place), Dusty Rhodes (dusty roads)"" },
    { ""name"": ""Dwayne"", ""mnemonic"": ""Dwayne Pipe (drain pipe)"" },
    { ""name"": ""Dwight"", ""mnemonic"": ""Dwight House (White House)"" }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=5,"```json
[
    { ""name"": ""Earl"", ""mnemonic"": ""Earl Grey (Earl Grey tea). Movement: See them make a cup of tea using Earl Grey tea. Earl E. Bird (early bird gets the worm). Lee Riser (early riser)."" },
    { ""name"": ""Ed"", ""mnemonic"": ""Ed Ducation (education). Ed Wardian (Edwardian). Ed Ortails (heads or tails). Movement: See them flick a coin for heads or tails. Ed Andshoulders (head and shoulders)."" },
    { ""name"": ""Edward"", ""mnemonic"": ""Edward Scissorhands from the film. Movement: See him use his scissor hands."" },
    { ""name"": ""Eileen"", ""mnemonic"": ""Eileen Over (I lean over). Movement: See them lean over."" },
    { ""name"": ""Elaine"", ""mnemonic"": ""Elaine on Motorway. Elaine - should there be just a lane for E cars or electric cars? Movement: See them start an electric car."" },
    { ""name"": ""Eleanor"", ""mnemonic"": ""Eleanor Rigby picks up the rice (Beatles song). Movement: See her pick up the rice."" },
    { ""name"": ""Elias"", ""mnemonic"": ""Elias lies to us. Elias - he lies to us. Movement: Ask them to say a lie and have a snake tongue."" },
    { ""name"": ""Elijah"", ""mnemonic"": ""Elijah just came from your mouth (a lie just came from your mouth). Movement: See them say a lie to everything and have a snake tongue."" },
    { ""name"": ""Ella"", ""mnemonic"": ""Ella Cinder (Cinderella). Ella Vator (elevator). Ella Umb Ella (Ella umbrella). Movement: See Ella open an umbrella."" },
    { ""name"": ""Elle"", ""mnemonic"": ""Elle Phant (elephant). Movement: See her make a noise like an elephant."" },
    { ""name"": ""Ellis"", ""mnemonic"": ""Ellis Island, America's busiest inspection and processing centre. Movement: See them inspect someone and decide if they can enter the country."" },
    { ""name"": ""Emma"", ""mnemonic"": ""Emma Royds (haemorrhoids). Movement: See her walk around painfully."" },
    { ""name"": ""Erica"", ""mnemonic"": ""Erica America (Erica comes from America). Movement: See her speak with an American accent."" },
    { ""name"": ""Estelle"", ""mnemonic"": ""Estelle Hertz (it still hurts). Movement: See her estimate how much it hurts from a chart 10 at top is 100% pain."" },
    { ""name"": ""Ethan"", ""mnemonic"": ""Ethan thanks everyone. Ethan he thanked everyone. Movement: See him thank everyone."" },
    { ""name"": ""Euan"", ""mnemonic"": ""Euan Hoosarmy (you and whose army?). Movement: See them trying to start a fight."" },
    { ""name"": ""Eunice"", ""mnemonic"": ""Eunice Cycle (unicycle). Movement: See them try and ride a unicycle."" },
    { ""name"": ""Evan"", ""mnemonic"": ""Evan Keel (even keel). Evan and Odds (Even and odds). Movement: See them flick a coin for heads or tails. Evan Above (heavens above). Movement: See an angel come down from heaven above."" },
    { ""name"": ""Eve"", ""mnemonic"": ""Eve Angelical (evangelical). Eve and Adam (Adam and Eve). Movement: See her eat an apple. Eve Ho (heave ho). Eve Ningall (evening all)."" },
    { ""name"": ""Evelyn"", ""mnemonic"": ""Eve Adam. Eve of Adam and Eve lingers. Movement: See Eve eat and apple."" },
    { ""name"": ""Ewan"", ""mnemonic"": ""Ewan Mee (you and me). Movement: See her point at a chart 10 high 1 low how much she loves you. Ewan The Sheep (you and the sheep). Ewan Hoosarmy (you and whose army?)."" },
    { ""name"": ""Ezra"", ""mnemonic"": ""Ezra the Fez (Ezra wears a fez and does a rap). Movement: Ask them to put on their fez and do a rap song."" }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=6,"```json
[
    {
        ""name"": ""Faye"",
        ""mnemonic"": ""Faye Away (fade away), Faye Kingit (faking it), Faye Slift (facelift), Fay Sake (face ache), Faye Macadamy (fame academy)""
    },
    {
        ""name"": ""Flo"",
        ""mnemonic"": ""Flo Taway (float away with the fairies)""
    },
    {
        ""name"": ""Frank"",
        ""mnemonic"": ""Frank Enstein (Frankenstein)""
    },
    {
        ""name"": ""Freda"",
        ""mnemonic"": ""Freda Go (free to go)""
    }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=7,"```json
[
    {
        ""name"": ""Gabriel"",
        ""mnemonic"": ""Gabriel Angel (Gabriel was the angel sent by God to tell Mary that she would become pregnant and give birth to Jesus.)""
    },
    {
        ""name"": ""Gail"",
        ""mnemonic"": ""Gail Force (gale force wind)""
    },
    {
        ""name"": ""Gene"",
        ""mnemonic"": ""Gene Poole (gene pool)""
    },
    {
        ""name"": ""Greyson"",
        ""mnemonic"": ""Greyson Sculpturist (Greyson is known for his ceramic vases and cross dressing.)""
    },
    {
        ""name"": ""Guy"",
        ""mnemonic"": ""Guy Forks (Guy Fawkes) / Guy Wire (guy wire)""
    },
    {
        ""name"": ""Gwen"",
        ""mnemonic"": ""Gwen Evere (Guinevere - Arthur's wife)""
    }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=8,"```json
[
    { ""name"": ""Hal"", ""mnemonic"": ""Hal Itosis (halitosis - bad breath)"" },
    { ""name"": ""Harper"", ""mnemonic"": ""Harp Poon (harpoon)"" },
    { ""name"": ""Harry"", ""mnemonic"": ""Harry Potter (Harry Potter - wizard)"" },
    { ""name"": ""Harry"", ""mnemonic"": ""Harry Kiri (harakiri)"" },
    { ""name"": ""Harry"", ""mnemonic"": ""Harry Hairy (Harry is hairy)"" },
    { ""name"": ""Hazel"", ""mnemonic"": ""Hazel Nut (hazelnut)"" },
    { ""name"": ""Heather"", ""mnemonic"": ""Heather Feather (feather)"" },
    { ""name"": ""Helen"", ""mnemonic"": ""Helen Troy (Helen of Troy, the most beautiful woman in the world)"" },
    { ""name"": ""Helen"", ""mnemonic"": ""Helen Back (to hell and back)"" },
    { ""name"": ""Helen"", ""mnemonic"": ""Helen Waite (go to hell and wait)"" },
    { ""name"": ""Henry"", ""mnemonic"": ""Henry the 8th King of England"" },
    { ""name"": ""Holly"", ""mnemonic"": ""Holly Bush (holly bush)"" },
    { ""name"": ""Holly"", ""mnemonic"": ""Holly Day (holiday)"" },
    { ""name"": ""Holly"", ""mnemonic"": ""Holly Wood (Hollywood)"" },
    { ""name"": ""Honey"", ""mnemonic"": ""Honey Bee (honey bee)"" },
    { ""name"": ""Hudson"", ""mnemonic"": ""Hudson Bay Company traded, initially in furs"" },
    { ""name"": ""Hugh"", ""mnemonic"": ""Hugh Jass (huge ass)"" }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=9,"```json
[
    { ""name"": ""Ian"", ""mnemonic"": ""I am nothing"" },
    { ""name"": ""Imogen"", ""mnemonic"": ""Imogen Drinker (him a gin drinker), Im O Gen (I'm a gentleman)"" },
    { ""name"": ""Iona"", ""mnemonic"": ""Iona Farm (I own a farm), Iona Frisbee (I own a frisbee)"" },
    { ""name"": ""Ira"", ""mnemonic"": ""Ira I.R.A. (Ira the I.R.A.)"" },
    { ""name"": ""Isabel"", ""mnemonic"": ""Isabel Ringing (is a bell ringing?)"" },
    { ""name"": ""Iva"", ""mnemonic"": ""Iva Payne (I have a pain)"" },
    { ""name"": ""Ivan"", ""mnemonic"": ""Ivan Odour (I have an odour)"" },
    { ""name"": ""Ivy"", ""mnemonic"": ""Ivy League (Ivy League), Ivy Upthewall (Ivy grows up the wall), Ivy Poison (poison ivy)"" }
]
```"
https://mammothmemory.net/memory/remembering-names/remembering-names/a-to-z-of-names.html?p=10,"```json
[
    { ""name"": ""Jack"", ""mnemonic"": ""Jack Pot (jackpot), Jack Hammer (jackhammer), Movement: See them use a jack hammer."" },
    { ""name"": ""James"", ""mnemonic"": ""James Bond (James Bond 007), Movement: See them walk on and suddenly point a gun."" },
    { ""name"": ""Jan"", ""mnemonic"": ""Jan Ittor (janitor), Movement: See them using a mop and bucket."" },
    { ""name"": ""Jay"", ""mnemonic"": ""Jay Walker (jaywalker), Movement: See them putting up their hands to stop traffic. Jay - has lazy parents (Jay - has lazy parents who couldn't be bothered to choose a name other than pick a letter from the alphabet), Movement: See them have really lazy parents."" },
    { ""name"": ""Jean"", ""mnemonic"": ""Jean Denim (denim jeans), Jean Poole (gene pool), Jean E (genie in a bottle), Movement: See them rub the side of a lamp."" },
    { ""name"": ""Jeanette"", ""mnemonic"": ""Jeanette-ic Engineer (genetic engineer), Movement: See them act like a mad scientists shouting \""science!\""."" },
    { ""name"": ""Jed"", ""mnemonic"": ""Jed Dye (Jedi), Movement: See them wave a lightsabre."" },
    { ""name"": ""Jeff"", ""mnemonic"": ""Jeff Chef (Jeff is a chef), Movement: See the person act like a chef and throw pancakes up in the air."" },
    { ""name"": ""Jenny"", ""mnemonic"": ""Jenny Flect (genuflect), Movement: See them genuflect to you as if you are the Queen or King."" },
    { ""name"": ""Jerry"", ""mnemonic"": ""Jerry Attric (geriatric), Jerry Tom (Tom & Jerry), Movement: See them use a giant mallet to whack Tom Cats head as in the cartoon."" },
    { ""name"": ""Jess"", ""mnemonic"": ""Jess Tate (gestate), Movement: See them being very pregnant. Jess-ee-James (Jesse James (gunslinger))"" },
    { ""name"": ""Jessica"", ""mnemonic"": ""Jessica Rabbit (Jessica Rabbit is in Who Framed Roger Rabbit), Movement: Ask her why she always wears red."" },
    { ""name"": ""Jim"", ""mnemonic"": ""Jim Nastic (gymnastic), Movement: See them do a handstand. Jim Cricket (Jiminy Cricket), Jim Shorts (gym shorts), Jim Shoe (gym shoe), Jim Nasium (gymnasium)"" },
    { ""name"": ""Jo"", ""mnemonic"": ""Jo Ker (joker), Movement: See them do the best joker laugh."" },
    { ""name"": ""Joanna"", ""mnemonic"": ""Joanna Pian'a' (Joanna is London slang for piano), Movement: See them playing piano."" },
    { ""name"": ""Joe"", ""mnemonic"": ""Joe Kerr (joker)"" },
    { ""name"": ""Joel"", ""mnemonic"": ""Joel Billy (Billy Joel), Movement: See them singing a famous Billy Joel song."" },
    { ""name"": ""John"", ""mnemonic"": ""John Baptist (John the Baptist), Movement: See them baptise you."" },
    { ""name"": ""Jordan"", ""mnemonic"": ""Jordan Michael (Jordan or Michael Jordan is the greatest basketball player of all time), Movement: See them shot an imaginary basketball."" },
    { ""name"": ""Joy"", ""mnemonic"": ""Joy Rider (joyrider), Movement: See them ride a chopper motorbike."" },
    { ""name"": ""Juan"", ""mnemonic"": ""Juan Man Band (one-man band), Movement: See them playing a number of instruments at once."" },
    { ""name"": ""June"", ""mnemonic"": ""June Buggy (dune buggy), Movement: See them riding and bouncing over sand dunes."" },
    { ""name"": ""Justin"", ""mnemonic"": ""Justin Case (just in case), Movement: See them opening loads of cases with lots of odd things in. Justin Hale (just inhale), Justin Time (just in time)"" }
]
```"
